comp_id_a,comp_id_b,value,note
2,46,2.5,Data pipeline + архитектура
2,47,2.5,Data pipeline + архитектура
2,57,3.0,ML pipeline: данные + модели
2,63,3.0,ML pipeline: данные + модели
2,64,3.0,ML pipeline: данные + модели
2,65,3.0,ML pipeline: данные + модели
2,66,3.0,ML pipeline: данные + модели
2,76,3.0,ML pipeline: данные + модели
2,77,3.0,ML pipeline: данные + модели
2,78,3.0,ML pipeline: данные + модели
2,83,3.0,ML pipeline: данные + модели
2,84,3.0,ML pipeline: данные + модели
2,89,-1.0,Дублирование роли
2,95,3.0,ML pipeline: данные + модели
2,96,3.0,ML pipeline: данные + модели
2,97,2.5,Data pipeline + архитектура
2,98,2.5,Data pipeline + архитектура
2,99,3.0,ML pipeline: данные + модели
2,100,3.0,ML pipeline: данные + модели
2,102,-1.0,Дублирование роли
2,103,-1.0,Дублирование роли
2,104,-1.0,Дублирование роли
2,105,3.0,ML pipeline: данные + модели
2,108,2.5,Data pipeline + архитектура
2,109,2.5,Data pipeline + архитектура
3,4,-1.0,Дублирование роли
3,5,-1.0,Дублирование роли
3,6,-1.0,Дублирование роли
3,9,-1.0,Дублирование роли
3,10,-1.0,Дублирование роли
3,13,2.0,Аналитика + моделирование
3,14,2.0,Аналитика + моделирование
3,15,2.5,Исследования + продакшн
3,16,2.5,Исследования + продакшн
3,17,2.0,Аналитика + моделирование
3,18,2.0,Аналитика + моделирование
3,19,-1.0,Дублирование роли
3,20,-1.0,Дублирование роли
3,21,2.5,Исследования + продакшн
3,22,2.5,Исследования + продакшн
3,23,2.0,Аналитика + моделирование
3,24,2.0,Аналитика + моделирование
3,25,2.0,Аналитика + моделирование
3,26,2.0,Аналитика + моделирование
3,27,2.0,Аналитика + моделирование
3,28,2.0,Аналитика + моделирование
3,29,2.5,Исследования + продакшн
3,30,2.5,Исследования + продакшн
3,31,1.5,Исследования + практика
3,32,1.5,Исследования + практика
3,33,1.5,Исследования + практика
3,34,2.5,Исследования + продакшн
3,35,2.5,Исследования + продакшн
3,40,1.5,Data-driven архитектура
3,41,1.5,Data-driven архитектура
3,42,1.5,Исследования + практика
3,43,1.5,Исследования + практика
3,44,1.5,Исследования + практика
3,45,1.5,Исследования + практика
3,46,1.5,Data-driven архитектура
3,47,1.5,Data-driven архитектура
3,48,2.0,Аналитика + моделирование
3,49,2.0,Аналитика + моделирование
3,50,1.5,Исследования + практика
3,51,1.5,Исследования + практика
3,52,1.5,Исследования + практика
3,53,1.5,Исследования + практика
3,54,1.5,Исследования + практика
3,55,2.0,Аналитика + моделирование
3,56,2.0,Аналитика + моделирование
3,57,2.5,Исследования + продакшн
3,58,2.0,Аналитика + моделирование
3,59,2.0,Аналитика + моделирование
3,60,2.0,Аналитика + моделирование
3,61,1.5,Исследования + практика
3,62,1.5,Исследования + практика
3,63,2.5,Исследования + продакшн
3,64,2.5,Исследования + продакшн
3,65,2.5,Исследования + продакшн
3,66,2.5,Исследования + продакшн
3,67,2.0,Аналитика + моделирование
3,68,2.0,Аналитика + моделирование
3,69,2.0,Аналитика + моделирование
3,70,1.5,Исследования + практика
3,71,1.5,Исследования + практика
3,72,-1.0,Дублирование роли
3,73,-1.0,Дублирование роли
3,74,-1.0,Дублирование роли
3,75,-1.0,Дублирование роли
3,76,2.5,Исследования + продакшн
3,77,2.5,Исследования + продакшн
3,78,2.5,Исследования + продакшн
3,81,1.5,Исследования + практика
3,82,1.5,Исследования + практика
3,83,2.5,Исследования + продакшн
3,84,2.5,Исследования + продакшн
3,90,1.5,Исследования + практика
3,91,1.5,Исследования + практика
3,92,1.5,Исследования + практика
3,93,1.5,Исследования + практика
3,94,1.5,Исследования + практика
3,95,2.5,Исследования + продакшн
3,96,2.5,Исследования + продакшн
3,97,1.5,Data-driven архитектура
3,98,1.5,Data-driven архитектура
3,99,2.5,Исследования + продакшн
3,100,2.5,Исследования + продакшн
3,101,1.5,Исследования + практика
3,105,2.5,Исследования + продакшн
3,106,2.0,Аналитика + моделирование
3,107,2.0,Аналитика + моделирование
3,108,1.5,Data-driven архитектура
3,109,1.5,Data-driven архитектура
3,110,2.0,Аналитика + моделирование
3,111,2.0,Аналитика + моделирование
4,5,-1.0,Дублирование роли
4,6,-1.0,Дублирование роли
4,9,-1.0,Дублирование роли
4,10,-1.0,Дублирование роли
4,13,2.0,Аналитика + моделирование
4,14,2.0,Аналитика + моделирование
4,15,2.5,Исследования + продакшн
4,16,2.5,Исследования + продакшн
4,17,2.0,Аналитика + моделирование
4,18,2.0,Аналитика + моделирование
4,19,-1.0,Дублирование роли
4,20,-1.0,Дублирование роли
4,21,2.5,Исследования + продакшн
4,22,2.5,Исследования + продакшн
4,23,2.0,Аналитика + моделирование
4,24,2.0,Аналитика + моделирование
4,25,2.0,Аналитика + моделирование
4,26,2.0,Аналитика + моделирование
4,27,2.0,Аналитика + моделирование
4,28,2.0,Аналитика + моделирование
4,29,2.5,Исследования + продакшн
4,30,2.5,Исследования + продакшн
4,31,1.5,Исследования + практика
4,32,1.5,Исследования + практика
4,33,1.5,Исследования + практика
4,34,2.5,Исследования + продакшн
4,35,2.5,Исследования + продакшн
4,40,1.5,Data-driven архитектура
4,41,1.5,Data-driven архитектура
4,42,1.5,Исследования + практика
4,43,1.5,Исследования + практика
4,44,1.5,Исследования + практика
4,45,1.5,Исследования + практика
4,46,1.5,Data-driven архитектура
4,47,1.5,Data-driven архитектура
4,48,2.0,Аналитика + моделирование
4,49,2.0,Аналитика + моделирование
4,50,1.5,Исследования + практика
4,51,1.5,Исследования + практика
4,52,1.5,Исследования + практика
4,53,1.5,Исследования + практика
4,54,1.5,Исследования + практика
4,55,2.0,Аналитика + моделирование
4,56,2.0,Аналитика + моделирование
4,57,2.5,Исследования + продакшн
4,58,2.0,Аналитика + моделирование
4,59,2.0,Аналитика + моделирование
4,60,2.0,Аналитика + моделирование
4,61,1.5,Исследования + практика
4,62,1.5,Исследования + практика
4,63,2.5,Исследования + продакшн
4,64,2.5,Исследования + продакшн
4,65,2.5,Исследования + продакшн
4,66,2.5,Исследования + продакшн
4,67,2.0,Аналитика + моделирование
4,68,2.0,Аналитика + моделирование
4,69,2.0,Аналитика + моделирование
4,70,1.5,Исследования + практика
4,71,1.5,Исследования + практика
4,72,-1.0,Дублирование роли
4,73,-1.0,Дублирование роли
4,74,-1.0,Дублирование роли
4,75,-1.0,Дублирование роли
4,76,2.5,Исследования + продакшн
4,77,2.5,Исследования + продакшн
4,78,2.5,Исследования + продакшн
4,81,1.5,Исследования + практика
4,82,1.5,Исследования + практика
4,83,2.5,Исследования + продакшн
4,84,2.5,Исследования + продакшн
4,90,1.5,Исследования + практика
4,91,1.5,Исследования + практика
4,92,1.5,Исследования + практика
4,93,1.5,Исследования + практика
4,94,1.5,Исследования + практика
4,95,2.5,Исследования + продакшн
4,96,2.5,Исследования + продакшн
4,97,1.5,Data-driven архитектура
4,98,1.5,Data-driven архитектура
4,99,2.5,Исследования + продакшн
4,100,2.5,Исследования + продакшн
4,101,1.5,Исследования + практика
4,105,2.5,Исследования + продакшн
4,106,2.0,Аналитика + моделирование
4,107,2.0,Аналитика + моделирование
4,108,1.5,Data-driven архитектура
4,109,1.5,Data-driven архитектура
4,110,2.0,Аналитика + моделирование
4,111,2.0,Аналитика + моделирование
5,6,-1.0,Дублирование роли
5,9,-1.0,Дублирование роли
5,10,-1.0,Дублирование роли
5,13,2.0,Аналитика + моделирование
5,14,2.0,Аналитика + моделирование
5,15,2.5,Исследования + продакшн
5,16,2.5,Исследования + продакшн
5,17,2.0,Аналитика + моделирование
5,18,2.0,Аналитика + моделирование
5,19,-1.0,Дублирование роли
5,20,-1.0,Дублирование роли
5,21,2.5,Исследования + продакшн
5,22,2.5,Исследования + продакшн
5,23,2.0,Аналитика + моделирование
5,24,2.0,Аналитика + моделирование
5,25,2.0,Аналитика + моделирование
5,26,2.0,Аналитика + моделирование
5,27,2.0,Аналитика + моделирование
5,28,2.0,Аналитика + моделирование
5,29,2.5,Исследования + продакшн
5,30,2.5,Исследования + продакшн
5,31,1.5,Исследования + практика
5,32,1.5,Исследования + практика
5,33,1.5,Исследования + практика
5,34,2.5,Исследования + продакшн
5,35,2.5,Исследования + продакшн
5,40,1.5,Data-driven архитектура
5,41,1.5,Data-driven архитектура
5,42,1.5,Исследования + практика
5,43,1.5,Исследования + практика
5,44,1.5,Исследования + практика
5,45,1.5,Исследования + практика
5,46,1.5,Data-driven архитектура
5,47,1.5,Data-driven архитектура
5,48,2.0,Аналитика + моделирование
5,49,2.0,Аналитика + моделирование
5,50,1.5,Исследования + практика
5,51,1.5,Исследования + практика
5,52,1.5,Исследования + практика
5,53,1.5,Исследования + практика
5,54,1.5,Исследования + практика
5,55,2.0,Аналитика + моделирование
5,56,2.0,Аналитика + моделирование
5,57,2.5,Исследования + продакшн
5,58,2.0,Аналитика + моделирование
5,59,2.0,Аналитика + моделирование
5,60,2.0,Аналитика + моделирование
5,61,1.5,Исследования + практика
5,62,1.5,Исследования + практика
5,63,2.5,Исследования + продакшн
5,64,2.5,Исследования + продакшн
5,65,2.5,Исследования + продакшн
5,66,2.5,Исследования + продакшн
5,67,2.0,Аналитика + моделирование
5,68,2.0,Аналитика + моделирование
5,69,2.0,Аналитика + моделирование
5,70,1.5,Исследования + практика
5,71,1.5,Исследования + практика
5,72,-1.0,Дублирование роли
5,73,-1.0,Дублирование роли
5,74,-1.0,Дублирование роли
5,75,-1.0,Дублирование роли
5,76,2.5,Исследования + продакшн
5,77,2.5,Исследования + продакшн
5,78,2.5,Исследования + продакшн
5,81,1.5,Исследования + практика
5,82,1.5,Исследования + практика
5,83,2.5,Исследования + продакшн
5,84,2.5,Исследования + продакшн
5,90,1.5,Исследования + практика
5,91,1.5,Исследования + практика
5,92,1.5,Исследования + практика
5,93,1.5,Исследования + практика
5,94,1.5,Исследования + практика
5,95,2.5,Исследования + продакшн
5,96,2.5,Исследования + продакшн
5,97,1.5,Data-driven архитектура
5,98,1.5,Data-driven архитектура
5,99,2.5,Исследования + продакшн
5,100,2.5,Исследования + продакшн
5,101,1.5,Исследования + практика
5,105,2.5,Исследования + продакшн
5,106,2.0,Аналитика + моделирование
5,107,2.0,Аналитика + моделирование
5,108,1.5,Data-driven архитектура
5,109,1.5,Data-driven архитектура
5,110,2.0,Аналитика + моделирование
5,111,2.0,Аналитика + моделирование
6,9,-1.0,Дублирование роли
6,10,-1.0,Дублирование роли
6,13,2.0,Аналитика + моделирование
6,14,2.0,Аналитика + моделирование
6,15,2.5,Исследования + продакшн
6,16,2.5,Исследования + продакшн
6,17,2.0,Аналитика + моделирование
6,18,2.0,Аналитика + моделирование
6,19,-1.0,Дублирование роли
6,20,-1.0,Дублирование роли
6,21,2.5,Исследования + продакшн
6,22,2.5,Исследования + продакшн
6,23,2.0,Аналитика + моделирование
6,24,2.0,Аналитика + моделирование
6,25,2.0,Аналитика + моделирование
6,26,2.0,Аналитика + моделирование
6,27,2.0,Аналитика + моделирование
6,28,2.0,Аналитика + моделирование
6,29,2.5,Исследования + продакшн
6,30,2.5,Исследования + продакшн
6,31,1.5,Исследования + практика
6,32,1.5,Исследования + практика
6,33,1.5,Исследования + практика
6,34,2.5,Исследования + продакшн
6,35,2.5,Исследования + продакшн
6,40,1.5,Data-driven архитектура
6,41,1.5,Data-driven архитектура
6,42,1.5,Исследования + практика
6,43,1.5,Исследования + практика
6,44,1.5,Исследования + практика
6,45,1.5,Исследования + практика
6,46,1.5,Data-driven архитектура
6,47,1.5,Data-driven архитектура
6,48,2.0,Аналитика + моделирование
6,49,2.0,Аналитика + моделирование
6,50,1.5,Исследования + практика
6,51,1.5,Исследования + практика
6,52,1.5,Исследования + практика
6,53,1.5,Исследования + практика
6,54,1.5,Исследования + практика
6,55,2.0,Аналитика + моделирование
6,56,2.0,Аналитика + моделирование
6,57,2.5,Исследования + продакшн
6,58,2.0,Аналитика + моделирование
6,59,2.0,Аналитика + моделирование
6,60,2.0,Аналитика + моделирование
6,61,1.5,Исследования + практика
6,62,1.5,Исследования + практика
6,63,2.5,Исследования + продакшн
6,64,2.5,Исследования + продакшн
6,65,2.5,Исследования + продакшн
6,66,2.5,Исследования + продакшн
6,67,2.0,Аналитика + моделирование
6,68,2.0,Аналитика + моделирование
6,69,2.0,Аналитика + моделирование
6,70,1.5,Исследования + практика
6,71,1.5,Исследования + практика
6,72,-1.0,Дублирование роли
6,73,-1.0,Дублирование роли
6,74,-1.0,Дублирование роли
6,75,-1.0,Дублирование роли
6,76,2.5,Исследования + продакшн
6,77,2.5,Исследования + продакшн
6,78,2.5,Исследования + продакшн
6,81,1.5,Исследования + практика
6,82,1.5,Исследования + практика
6,83,2.5,Исследования + продакшн
6,84,2.5,Исследования + продакшн
6,90,1.5,Исследования + практика
6,91,1.5,Исследования + практика
6,92,1.5,Исследования + практика
6,93,1.5,Исследования + практика
6,94,1.5,Исследования + практика
6,95,2.5,Исследования + продакшн
6,96,2.5,Исследования + продакшн
6,97,1.5,Data-driven архитектура
6,98,1.5,Data-driven архитектура
6,99,2.5,Исследования + продакшн
6,100,2.5,Исследования + продакшн
6,101,1.5,Исследования + практика
6,105,2.5,Исследования + продакшн
6,106,2.0,Аналитика + моделирование
6,107,2.0,Аналитика + моделирование
6,108,1.5,Data-driven архитектура
6,109,1.5,Data-driven архитектура
6,110,2.0,Аналитика + моделирование
6,111,2.0,Аналитика + моделирование
7,8,-1.0,Дублирование роли
7,11,-1.0,Дублирование роли
7,12,-1.0,Дублирование роли
7,15,3.0,ML pipeline: данные + модели
7,16,3.0,ML pipeline: данные + модели
7,21,3.0,ML pipeline: данные + модели
7,22,3.0,ML pipeline: данные + модели
7,29,3.0,ML pipeline: данные + модели
7,30,3.0,ML pipeline: данные + модели
7,34,3.0,ML pipeline: данные + модели
7,35,3.0,ML pipeline: данные + модели
7,38,-1.0,Дублирование роли
7,39,-1.0,Дублирование роли
7,40,2.5,Data pipeline + архитектура
7,41,2.5,Data pipeline + архитектура
7,46,2.5,Data pipeline + архитектура
7,47,2.5,Data pipeline + архитектура
7,57,3.0,ML pipeline: данные + модели
7,63,3.0,ML pipeline: данные + модели
7,64,3.0,ML pipeline: данные + модели
7,65,3.0,ML pipeline: данные + модели
7,66,3.0,ML pipeline: данные + модели
7,76,3.0,ML pipeline: данные + модели
7,77,3.0,ML pipeline: данные + модели
7,78,3.0,ML pipeline: данные + модели
7,83,3.0,ML pipeline: данные + модели
7,84,3.0,ML pipeline: данные + модели
7,89,-1.0,Дублирование роли
7,95,3.0,ML pipeline: данные + модели
7,96,3.0,ML pipeline: данные + модели
7,97,2.5,Data pipeline + архитектура
7,98,2.5,Data pipeline + архитектура
7,99,3.0,ML pipeline: данные + модели
7,100,3.0,ML pipeline: данные + модели
7,102,-1.0,Дублирование роли
7,103,-1.0,Дублирование роли
7,104,-1.0,Дублирование роли
7,105,3.0,ML pipeline: данные + модели
7,108,2.5,Data pipeline + архитектура
7,109,2.5,Data pipeline + архитектура
8,11,-1.0,Дублирование роли
8,12,-1.0,Дублирование роли
8,15,3.0,ML pipeline: данные + модели
8,16,3.0,ML pipeline: данные + модели
8,21,3.0,ML pipeline: данные + модели
8,22,3.0,ML pipeline: данные + модели
8,29,3.0,ML pipeline: данные + модели
8,30,3.0,ML pipeline: данные + модели
8,34,3.0,ML pipeline: данные + модели
8,35,3.0,ML pipeline: данные + модели
8,38,-1.0,Дублирование роли
8,39,-1.0,Дублирование роли
8,40,2.5,Data pipeline + архитектура
8,41,2.5,Data pipeline + архитектура
8,46,2.5,Data pipeline + архитектура
8,47,2.5,Data pipeline + архитектура
8,57,3.0,ML pipeline: данные + модели
8,63,3.0,ML pipeline: данные + модели
8,64,3.0,ML pipeline: данные + модели
8,65,3.0,ML pipeline: данные + модели
8,66,3.0,ML pipeline: данные + модели
8,76,3.0,ML pipeline: данные + модели
8,77,3.0,ML pipeline: данные + модели
8,78,3.0,ML pipeline: данные + модели
8,83,3.0,ML pipeline: данные + модели
8,84,3.0,ML pipeline: данные + модели
8,89,-1.0,Дублирование роли
8,95,3.0,ML pipeline: данные + модели
8,96,3.0,ML pipeline: данные + модели
8,97,2.5,Data pipeline + архитектура
8,98,2.5,Data pipeline + архитектура
8,99,3.0,ML pipeline: данные + модели
8,100,3.0,ML pipeline: данные + модели
8,102,-1.0,Дублирование роли
8,103,-1.0,Дублирование роли
8,104,-1.0,Дублирование роли
8,105,3.0,ML pipeline: данные + модели
8,108,2.5,Data pipeline + архитектура
8,109,2.5,Data pipeline + архитектура
9,10,-1.0,Дублирование роли
9,13,2.0,Аналитика + моделирование
9,14,2.0,Аналитика + моделирование
9,15,2.5,Исследования + продакшн
9,16,2.5,Исследования + продакшн
9,17,2.0,Аналитика + моделирование
9,18,2.0,Аналитика + моделирование
9,19,-1.0,Дублирование роли
9,20,-1.0,Дублирование роли
9,21,2.5,Исследования + продакшн
9,22,2.5,Исследования + продакшн
9,23,2.0,Аналитика + моделирование
9,24,2.0,Аналитика + моделирование
9,25,2.0,Аналитика + моделирование
9,26,2.0,Аналитика + моделирование
9,27,2.0,Аналитика + моделирование
9,28,2.0,Аналитика + моделирование
9,29,2.5,Исследования + продакшн
9,30,2.5,Исследования + продакшн
9,31,1.5,Исследования + практика
9,32,1.5,Исследования + практика
9,33,1.5,Исследования + практика
9,34,2.5,Исследования + продакшн
9,35,2.5,Исследования + продакшн
9,40,1.5,Data-driven архитектура
9,41,1.5,Data-driven архитектура
9,42,1.5,Исследования + практика
9,43,1.5,Исследования + практика
9,44,1.5,Исследования + практика
9,45,1.5,Исследования + практика
9,46,1.5,Data-driven архитектура
9,47,1.5,Data-driven архитектура
9,48,2.0,Аналитика + моделирование
9,49,2.0,Аналитика + моделирование
9,50,1.5,Исследования + практика
9,51,1.5,Исследования + практика
9,52,1.5,Исследования + практика
9,53,1.5,Исследования + практика
9,54,1.5,Исследования + практика
9,55,2.0,Аналитика + моделирование
9,56,2.0,Аналитика + моделирование
9,57,2.5,Исследования + продакшн
9,58,2.0,Аналитика + моделирование
9,59,2.0,Аналитика + моделирование
9,60,2.0,Аналитика + моделирование
9,61,1.5,Исследования + практика
9,62,1.5,Исследования + практика
9,63,2.5,Исследования + продакшн
9,64,2.5,Исследования + продакшн
9,65,2.5,Исследования + продакшн
9,66,2.5,Исследования + продакшн
9,67,2.0,Аналитика + моделирование
9,68,2.0,Аналитика + моделирование
9,69,2.0,Аналитика + моделирование
9,70,1.5,Исследования + практика
9,71,1.5,Исследования + практика
9,72,-1.0,Дублирование роли
9,73,-1.0,Дублирование роли
9,74,-1.0,Дублирование роли
9,75,-1.0,Дублирование роли
9,76,2.5,Исследования + продакшн
9,77,2.5,Исследования + продакшн
9,78,2.5,Исследования + продакшн
9,81,1.5,Исследования + практика
9,82,1.5,Исследования + практика
9,83,2.5,Исследования + продакшн
9,84,2.5,Исследования + продакшн
9,90,1.5,Исследования + практика
9,91,1.5,Исследования + практика
9,92,1.5,Исследования + практика
9,93,1.5,Исследования + практика
9,94,1.5,Исследования + практика
9,95,2.5,Исследования + продакшн
9,96,2.5,Исследования + продакшн
9,97,1.5,Data-driven архитектура
9,98,1.5,Data-driven архитектура
9,99,2.5,Исследования + продакшн
9,100,2.5,Исследования + продакшн
9,101,1.5,Исследования + практика
9,105,2.5,Исследования + продакшн
9,106,2.0,Аналитика + моделирование
9,107,2.0,Аналитика + моделирование
9,108,1.5,Data-driven архитектура
9,109,1.5,Data-driven архитектура
9,110,2.0,Аналитика + моделирование
9,111,2.0,Аналитика + моделирование
10,13,2.0,Аналитика + моделирование
10,14,2.0,Аналитика + моделирование
10,15,2.5,Исследования + продакшн
10,16,2.5,Исследования + продакшн
10,17,2.0,Аналитика + моделирование
10,18,2.0,Аналитика + моделирование
10,19,-1.0,Дублирование роли
10,20,-1.0,Дублирование роли
10,21,2.5,Исследования + продакшн
10,22,2.5,Исследования + продакшн
10,23,2.0,Аналитика + моделирование
10,24,2.0,Аналитика + моделирование
10,25,2.0,Аналитика + моделирование
10,26,2.0,Аналитика + моделирование
10,27,2.0,Аналитика + моделирование
10,28,2.0,Аналитика + моделирование
10,29,2.5,Исследования + продакшн
10,30,2.5,Исследования + продакшн
10,31,1.5,Исследования + практика
10,32,1.5,Исследования + практика
10,33,1.5,Исследования + практика
10,34,2.5,Исследования + продакшн
10,35,2.5,Исследования + продакшн
10,40,1.5,Data-driven архитектура
10,41,1.5,Data-driven архитектура
10,42,1.5,Исследования + практика
10,43,1.5,Исследования + практика
10,44,1.5,Исследования + практика
10,45,1.5,Исследования + практика
10,46,1.5,Data-driven архитектура
10,47,1.5,Data-driven архитектура
10,48,2.0,Аналитика + моделирование
10,49,2.0,Аналитика + моделирование
10,50,1.5,Исследования + практика
10,51,1.5,Исследования + практика
10,52,1.5,Исследования + практика
10,53,1.5,Исследования + практика
10,54,1.5,Исследования + практика
10,55,2.0,Аналитика + моделирование
10,56,2.0,Аналитика + моделирование
10,57,2.5,Исследования + продакшн
10,58,2.0,Аналитика + моделирование
10,59,2.0,Аналитика + моделирование
10,60,2.0,Аналитика + моделирование
10,61,1.5,Исследования + практика
10,62,1.5,Исследования + практика
10,63,2.5,Исследования + продакшн
10,64,2.5,Исследования + продакшн
10,65,2.5,Исследования + продакшн
10,66,2.5,Исследования + продакшн
10,67,2.0,Аналитика + моделирование
10,68,2.0,Аналитика + моделирование
10,69,2.0,Аналитика + моделирование
10,70,1.5,Исследования + практика
10,71,1.5,Исследования + практика
10,72,-1.0,Дублирование роли
10,73,-1.0,Дублирование роли
10,74,-1.0,Дублирование роли
10,75,-1.0,Дублирование роли
10,76,2.5,Исследования + продакшн
10,77,2.5,Исследования + продакшн
10,78,2.5,Исследования + продакшн
10,81,1.5,Исследования + практика
10,82,1.5,Исследования + практика
10,83,2.5,Исследования + продакшн
10,84,2.5,Исследования + продакшн
10,90,1.5,Исследования + практика
10,91,1.5,Исследования + практика
10,92,1.5,Исследования + практика
10,93,1.5,Исследования + практика
10,94,1.5,Исследования + практика
10,95,2.5,Исследования + продакшн
10,96,2.5,Исследования + продакшн
10,97,1.5,Data-driven архитектура
10,98,1.5,Data-driven архитектура
10,99,2.5,Исследования + продакшн
10,100,2.5,Исследования + продакшн
10,101,1.5,Исследования + практика
10,105,2.5,Исследования + продакшн
10,106,2.0,Аналитика + моделирование
10,107,2.0,Аналитика + моделирование
10,108,1.5,Data-driven архитектура
10,109,1.5,Data-driven архитектура
10,110,2.0,Аналитика + моделирование
10,111,2.0,Аналитика + моделирование
11,12,-1.0,Дублирование роли
11,15,3.0,ML pipeline: данные + модели
11,16,3.0,ML pipeline: данные + модели
11,21,3.0,ML pipeline: данные + модели
11,22,3.0,ML pipeline: данные + модели
11,29,3.0,ML pipeline: данные + модели
11,30,3.0,ML pipeline: данные + модели
11,34,3.0,ML pipeline: данные + модели
11,35,3.0,ML pipeline: данные + модели
11,38,-1.0,Дублирование роли
11,39,-1.0,Дублирование роли
11,40,2.5,Data pipeline + архитектура
11,41,2.5,Data pipeline + архитектура
11,46,2.5,Data pipeline + архитектура
11,47,2.5,Data pipeline + архитектура
11,57,3.0,ML pipeline: данные + модели
11,63,3.0,ML pipeline: данные + модели
11,64,3.0,ML pipeline: данные + модели
11,65,3.0,ML pipeline: данные + модели
11,66,3.0,ML pipeline: данные + модели
11,76,3.0,ML pipeline: данные + модели
11,77,3.0,ML pipeline: данные + модели
11,78,3.0,ML pipeline: данные + модели
11,83,3.0,ML pipeline: данные + модели
11,84,3.0,ML pipeline: данные + модели
11,89,-1.0,Дублирование роли
11,95,3.0,ML pipeline: данные + модели
11,96,3.0,ML pipeline: данные + модели
11,97,2.5,Data pipeline + архитектура
11,98,2.5,Data pipeline + архитектура
11,99,3.0,ML pipeline: данные + модели
11,100,3.0,ML pipeline: данные + модели
11,102,-1.0,Дублирование роли
11,103,-1.0,Дублирование роли
11,104,-1.0,Дублирование роли
11,105,3.0,ML pipeline: данные + модели
11,108,2.5,Data pipeline + архитектура
11,109,2.5,Data pipeline + архитектура
12,15,3.0,ML pipeline: данные + модели
12,16,3.0,ML pipeline: данные + модели
12,21,3.0,ML pipeline: данные + модели
12,22,3.0,ML pipeline: данные + модели
12,29,3.0,ML pipeline: данные + модели
12,30,3.0,ML pipeline: данные + модели
12,34,3.0,ML pipeline: данные + модели
12,35,3.0,ML pipeline: данные + модели
12,38,-1.0,Дублирование роли
12,39,-1.0,Дублирование роли
12,40,2.5,Data pipeline + архитектура
12,41,2.5,Data pipeline + архитектура
12,46,2.5,Data pipeline + архитектура
12,47,2.5,Data pipeline + архитектура
12,57,3.0,ML pipeline: данные + модели
12,63,3.0,ML pipeline: данные + модели
12,64,3.0,ML pipeline: данные + модели
12,65,3.0,ML pipeline: данные + модели
12,66,3.0,ML pipeline: данные + модели
12,76,3.0,ML pipeline: данные + модели
12,77,3.0,ML pipeline: данные + модели
12,78,3.0,ML pipeline: данные + модели
12,83,3.0,ML pipeline: данные + модели
12,84,3.0,ML pipeline: данные + модели
12,89,-1.0,Дублирование роли
12,95,3.0,ML pipeline: данные + модели
12,96,3.0,ML pipeline: данные + модели
12,97,2.5,Data pipeline + архитектура
12,98,2.5,Data pipeline + архитектура
12,99,3.0,ML pipeline: данные + модели
12,100,3.0,ML pipeline: данные + модели
12,102,-1.0,Дублирование роли
12,103,-1.0,Дублирование роли
12,104,-1.0,Дублирование роли
12,105,3.0,ML pipeline: данные + модели
12,108,2.5,Data pipeline + архитектура
